,Company,TypeName,Ram,Gpu,OpSys,Weight,Price,Touchscreen,IPS_Panel,Res_Per_Inches,Cpu_Brand,HDD,SSD
123,HP,Notebook,16,Nvidia,Windows,2.5,67718.88,0,0,127.33567457123111,Intel Core i7,0,512
124,Acer,Notebook,4,AMD,Windows,2.1,24029.28,0,0,100.45466986113651,AMD Processor,0,256
125,HP,Notebook,4,Intel,No OS/Linux/Chrome/Android,1.86,13799.52,0,0,100.45466986113651,Other Intel Processor,500,0
126,HP,Notebook,8,Intel,Windows,1.63,43263.36,0,0,157.3505121487356,Intel Core i5,1000,0
127,Asus,Notebook,4,AMD,Windows,1.65,14811.3072,0,0,111.93520355955211,AMD Processor,0,64
128,Dell,Notebook,16,AMD,Windows,2.8,74378.87999999999,0,0,127.33567457123111,Intel Core i7,2000,256
129,HP,Notebook,8,Intel,Windows,2.5,49443.84,0,0,127.33567457123111,Intel Core i5,0,256
130,Dell,Notebook,8,AMD,Windows,2.36,34045.3872,0,0,100.45466986113651,Intel Core i5,1000,0
131,Dell,Notebook,4,AMD,Windows,2.2,23922.72,0,0,141.21199808219862,Intel Core i3,1000,0
132,Acer,Ultrabook,8,Intel,Windows,1.6,47099.52,0,1,157.3505121487356,Intel Core i7,0,256
133,Acer,Notebook,4,Nvidia,Windows,2.2,30476.16,0,0,141.21199808219862,Intel Core i3,0,256
134,HP,Notebook,8,Intel,Windows,2.05,31861.44,0,0,100.45466986113651,Intel Core i7,1000,0
135,HP,Notebook,8,Intel,Windows,1.63,52640.64,0,0,157.3505121487356,Intel Core i7,0,256
136,Lenovo,Notebook,4,Intel,No OS/Linux/Chrome/Android,1.9,13445.7408,0,0,100.45466986113651,Other Intel Processor,1000,0
137,Asus,Gaming,8,Nvidia,Windows,3.0,49976.64,0,0,127.33567457123111,Intel Core i5,1000,128
138,Lenovo,Notebook,4,Nvidia,No OS/Linux/Chrome/Android,2.2,26586.72,0,0,141.21199808219862,Intel Core i5,1000,0
139,HP,Notebook,4,Intel,Windows,1.32,37242.72,0,1,165.6321180513006,Intel Core i5,0,256
140,Acer,Notebook,4,Nvidia,Windows,3.0,34898.4,0,1,127.33567457123111,Intel Core i3,1000,0
141,Lenovo,Notebook,8,AMD,Windows,1.75,59461.5456,0,1,157.3505121487356,Intel Core i5,0,256
142,Lenovo,Gaming,8,Nvidia,No OS/Linux/Chrome/Android,2.4,46300.32,0,1,141.21199808219862,Intel Core i7,0,256
143,Toshiba,Notebook,4,Intel,Windows,2.1,32074.56,0,0,100.45466986113651,Intel Core i5,500,0
144,HP,Notebook,4,AMD,Windows,1.86,19660.32,0,0,100.45466986113651,AMD Processor,0,256
145,Asus,Ultrabook,8,Intel,Windows,1.25,58554.72,0,0,157.3505121487356,Intel Core i7,0,256
146,HP,Ultrabook,8,Intel,Windows,0.97,107305.92,1,1,352.4651472131677,Other Intel Processor,0,512
147,Asus,Notebook,4,Intel,Windows,2.0,18328.32,0,0,141.21199808219862,Other Intel Processor,1000,0
148,MSI,Gaming,16,Nvidia,Windows,2.9,108105.12,0,0,127.33567457123111,Intel Core i7,1000,256
149,Acer,Notebook,4,Intel,Windows,2.1,23816.16,0,0,100.45466986113651,Intel Core i3,1000,0
150,Dell,Gaming,16,Nvidia,Windows,2.56,66560.5728,0,0,141.21199808219862,Intel Core i7,0,512
151,Dell,Gaming,8,Nvidia,Windows,2.62,47898.72,0,0,141.21199808219862,Intel Core i7,0,0
152,Lenovo,Notebook,4,Intel,Windows,1.9,26533.44,0,0,100.45466986113651,Intel Core i5,0,128
153,MSI,Gaming,16,Nvidia,Windows,2.8,100699.2,0,0,127.33567457123111,Intel Core i7,1000,256
154,HP,Ultrabook,4,Intel,Windows,1.48,57648.96,0,0,157.3505121487356,Intel Core i5,0,256
155,HP,Notebook,6,AMD,Windows,1.91,32980.32,0,0,141.21199808219862,Intel Core i5,0,256
156,Lenovo,2 in 1 Convertible,4,Intel,Windows,1.74,33513.119999999995,1,1,157.3505121487356,Intel Core i3,0,256
157,Asus,2 in 1 Convertible,8,Intel,Windows,1.1,70063.2,1,0,165.6321180513006,Intel Core i5,0,256
158,Dell,2 in 1 Convertible,8,Intel,Windows,1.56,55890.72,1,0,141.21199808219862,Intel Core i7,0,256
159,Toshiba,Notebook,4,Intel,Windows,2.1,23816.16,0,0,100.45466986113651,Intel Core i3,500,0
160,Asus,Notebook,4,AMD,Windows,2.03,21471.84,0,0,100.45466986113651,AMD Processor,1000,0
161,Acer,Notebook,4,Nvidia,Windows,3.0,42890.4,0,1,127.33567457123111,Intel Core i5,0,256
162,Dell,Notebook,8,AMD,Windows,2.13,38787.84,0,0,141.21199808219862,Intel Core i5,0,256
163,Lenovo,Gaming,16,Nvidia,Windows,2.5,57489.12,0,1,141.21199808219862,Intel Core i7,0,256
164,Acer,Notebook,4,Intel,Windows,2.1,18541.44,0,0,100.45466986113651,Other Intel Processor,1000,0
165,MSI,Gaming,16,Nvidia,Windows,2.4,95850.72,0,1,141.21199808219862,Intel Core i7,1000,256
166,Acer,Notebook,4,Intel,Windows,2.1,19367.8128,0,0,100.45466986113651,Other Intel Processor,1000,0
167,Dell,Gaming,8,Nvidia,Windows,2.56,56502.9072,0,0,141.21199808219862,Intel Core i7,1000,128
168,Acer,Notebook,8,Nvidia,Windows,3.0,45501.12,0,1,127.33567457123111,Intel Core i5,0,256
169,HP,Notebook,4,Intel,Windows,1.49,40173.12,0,1,165.6321180513006,Intel Core i5,500,0
171,HP,Notebook,6,AMD,Windows,2.71,37242.72,0,1,127.33567457123111,Intel Core i5,2000,0
172,Lenovo,Notebook,4,AMD,No OS/Linux/Chrome/Android,2.2,16463.52,0,0,100.45466986113651,AMD Processor,500,0
173,Toshiba,Notebook,4,Intel,Windows,2.0,26053.92,0,0,100.45466986113651,Intel Core i3,500,0
174,HP,Notebook,8,Nvidia,Windows,2.5,49177.44,0,0,127.33567457123111,Intel Core i5,0,256
175,Dell,Notebook,8,Intel,Windows,2.3,24455.52,0,0,100.45466986113651,Intel Core i3,1000,0
176,Acer,Notebook,4,Intel,Windows,2.1,23922.72,0,0,100.45466986113651,Intel Core i3,0,128
177,MSI,Gaming,32,Nvidia,Windows,4.4,149130.72,0,0,119.7232157653423,Intel Core i7,1000,512
178,Lenovo,Notebook,8,AMD,Windows,1.9,43316.64,0,0,141.21199808219862,Intel Core i5,1000,128
179,HP,2 in 1 Convertible,8,Intel,Windows,1.29,79866.72,1,1,331.2642361026012,Intel Core i5,0,256
180,Dell,Notebook,16,AMD,No OS/Linux/Chrome/Android,2.02,55890.72,0,0,141.21199808219862,Intel Core i7,2000,256
181,Dell,Ultrabook,8,Intel,Windows,1.23,74538.72,0,0,165.6321180513006,Intel Core i5,0,256
182,Lenovo,2 in 1 Convertible,16,Intel,Windows,1.4,98514.72,1,1,316.96506044349616,Intel Core i7,0,512
183,Toshiba,Notebook,8,Intel,Windows,2.0,42251.04,0,0,100.45466986113651,Intel Core i5,0,128
185,Dell,Notebook,16,Nvidia,Windows,2.77,82530.72,1,0,127.33567457123111,Intel Core i7,0,512
186,Dell,Notebook,16,Nvidia,Windows,2.06,127712.16,1,0,282.42399616439724,Intel Core i7,0,512
187,Lenovo,Gaming,8,Nvidia,No OS/Linux/Chrome/Android,2.4,41505.12,0,1,141.21199808219862,Intel Core i5,0,256
188,Acer,Ultrabook,8,Intel,Windows,1.12,52693.92,0,1,165.6321180513006,Intel Core i5,0,256
189,Dell,Notebook,8,AMD,Windows,2.8,57808.8,0,0,127.33567457123111,Intel Core i7,1000,128
190,Lenovo,2 in 1 Convertible,16,Intel,Windows,1.42,150462.72,1,0,209.8006828649808,Intel Core i7,0,1000
193,Lenovo,Notebook,8,Nvidia,No OS/Linux/Chrome/Android,2.8,37189.44,0,0,106.11306214269258,Intel Core i5,0,256
194,Dell,2 in 1 Convertible,8,Intel,Windows,1.62,44701.92,1,1,165.6321180513006,Intel Core i7,1000,0
195,HP,Notebook,8,Nvidia,Windows,2.5,48697.92,0,1,127.33567457123111,Intel Core i5,1000,0
197,HP,Notebook,8,Intel,Windows,1.49,51095.52,0,0,165.6321180513006,Intel Core i5,0,512
198,HP,Gaming,16,Nvidia,Windows,3.35,73473.12,0,1,127.33567457123111,Intel Core i7,1000,256
199,HP,Notebook,8,Nvidia,Windows,2.5,55677.6,0,0,127.33567457123111,Intel Core i7,0,256
200,Dell,Gaming,16,Nvidia,Windows,2.65,98301.6,0,1,282.42399616439724,Intel Core i7,1000,512
